Location,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1763.333333,0,0,4349.090909,2090.909091,0,1261.946903,57.14285714,884,971.8095238,337.1,,,
Latin America & Caribbean (developing only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.2118614,119.3272791,123.3359001,107.6720499,111.2599682,137.1473476,115.3540447,100.2448472,131.8969332,154.3021696,149.5182262,,,
Lao PDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,132.375,142.3184153,313.7614679,297.8676471,320.1043219,219.5934959,234.2926829,296.7368421,419.1557377,282.8985507,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.29201102,33.06997245,51.65657143,67.128,42.30857143,60.96,27.26857143,33.66857143,18.65967366,38.52913753,30.88488372,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,88,119.3333333,84,223,,,
Latin America & Caribbean (all income levels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.57807427,107.3344678,112.0222138,97.07398765,99.71325525,120.2670981,103.7189631,89.38960826,114.0072992,132.9722439,125.9148265,,,
Least developed countries: UN classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.554540275,8.304486288,6.880595205,7.825616472,8.603520195,8.220326065,8.033539851,10.19139263,10.62815992,11.06637215,,,
